,Message ID,Message Phrases
0,1,[limited period job offer:limited period job offer:you are shortlisted:meet us:travel reimbursement:work less and get paid more:get hired today:travel reimbursement:travel reimbursement:role of a software developer:limited period job offer:role of a human resources director]
1,2,[limited period job offer:simplest path to become a millionaire:you are shortlisted:limited period job offer:limited period job offer:get hired today:received your profile:meet us:call us:meet us:call us:you are shortlisted]
2,3,[simplest path to become a millionaire:call us:you are shortlisted:open for all]
3,4,[travel reimbursement:work less and get paid more:travel reimbursement:meet us:work less and get paid more:open for all:received your profile:limited period job offer:received your profile:call us:call us:you are shortlisted]
4,5,[limited period job offer:travel reimbursement:role of a human resources director:role of a human resources director:call us:work less and get paid more]
5,6,[open for all:call us:work less and get paid more:travel reimbursement:open for all:call us:you are shortlisted:limited period job offer]
6,7,[travel reimbursement:open for all:travel reimbursement:get hired today]
7,8,[received your profile:travel reimbursement:role of a software developer:simplest path to become a millionaire:you are shortlisted:simplest path to become a millionaire:call us:work less and get paid more:travel reimbursement:work less and get paid more:travel reimbursement]
8,9,[you are shortlisted:open for all:simplest path to become a millionaire:you are shortlisted:work less and get paid more:work less and get paid more:you are shortlisted:get hired today:role of a human resources director:call us:meet us]
9,10,[simplest path to become a millionaire:received your profile:travel reimbursement:received your profile:meet us:role of a human resources director:you are shortlisted:role of a human resources director:limited period job offer:you are shortlisted]
10,11,[you are shortlisted:received your profile:work less and get paid more:travel reimbursement]
11,12,[received your profile:meet us:open for all:meet us:travel reimbursement:received your profile:work less and get paid more:simplest path to become a millionaire:you are shortlisted:travel reimbursement]
12,13,[open for all:open for all:simplest path to become a millionaire:you are shortlisted:open for all:call us:call us:you are shortlisted]
13,14,[meet us:limited period job offer:you are shortlisted:simplest path to become a millionaire]
14,15,[call us:you are shortlisted:travel reimbursement:work less and get paid more:received your profile:travel reimbursement:you are shortlisted:received your profile:received your profile:received your profile]
15,16,[received your profile:simplest path to become a millionaire:call us:you are shortlisted:simplest path to become a millionaire:meet us]
16,17,[open for all:call us:work less and get paid more:received your profile:meet us:simplest path to become a millionaire:meet us:travel reimbursement]
17,18,[received your profile:travel reimbursement:role of a human resources director:simplest path to become a millionaire:role of a software developer:call us]
18,19,[you are shortlisted:meet us:call us:limited period job offer:received your profile:work less and get paid more:work less and get paid more:call us]
19,20,[limited period job offer:simplest path to become a millionaire:limited period job offer:call us:call us:travel reimbursement]
20,21,[you are shortlisted:work less and get paid more:meet us:work less and get paid more]
21,22,[work less and get paid more:you are shortlisted:you are shortlisted:work less and get paid more]
22,23,[received your profile:call us:you are shortlisted:travel reimbursement:role of a human resources director:limited period job offer:limited period job offer:meet us:get hired today]
